RestaurantID:ID,Name,URL,Price,Special,Review,:LABEL
food_0001,家宴渝悦,https://you.ctrip.com/food/glenwaverley16569/16526506.html,¥233,"剁椒鱼头 , 火锅 , 银耳汤 , 烧椒凉粉 , 东风肉 , 鱼香茄子 , 蛋挞","火锅+熟食自助模式在等锅来的时候，可以去拿熟食，感觉这种模式合理又贴心，关键熟食都十分好吃，没有因为自助而降低餐品质量。火锅的涮食...
来自 lulu0531 的点评",Restaurant
food_0002,Easey's,https://you.ctrip.com/food/collingwood2124676/16526742.html,¥89,,"墨尔本的这家餐厅对于本地人来说是他们的热爱美食，于我们可能是因为特色的装修而去的。因为这里是吃汉堡，薯条这些的，口味什么的其实还满...
来自 没有蜡olling 的点评",Restaurant
food_0003,Simply Spanish Bourke Street,https://you.ctrip.com/food/melbourne312/8782136.html,¥171,"Mocha , Garlic Prawns , Gourmet Seafood , Chicken Cazuela (Spanish Chicken) , Gourmet Provincial Spanish , Baked Snapper Paella , Pork belly , claypot eggs , 西式泡芙 , claypots eggs , eggs on toast , profiteroles , 热巧克力☕️","这家西班牙炒饭店位于著名的维多利亚女王市场内，口味绝对是原汁原味的西班牙海鲜炒饭，口感非常的不错，生意非常的好，可以用人头传动来形...
来自 juki235 的点评",Restaurant
food_0004,The Grain Store,https://you.ctrip.com/food/docklands1470108/8780918.html,¥234,"咖啡 , Freshly Squeezed Orange Juice , flat white , smoked salmon , Sauteed Mushroom and Pesto Gnnochi , 抹茶拿铁 , pork benedict","去吃了Grain Store的周末Brunch，蘑菇很好吃！看着隔壁桌的大盘子觉得自己的分量很小但居然吃饱了，难道我最近胃变小了！哈哈哈
来自 珍珍吖头 的点评",Restaurant
food_0005,Top Paddock,https://you.ctrip.com/food/cremorne2124668/8781008.html,¥156,"Hotcake , Beef Sandwich , flate white , soft humb crab burger , Top Paddock , Blueberry & ricotta hotcake with berries, maple syrup, seeds & cream poached pear , Chilli scrambled eggs with Otway shiitake mushrooms & goat’s curd on toast , Warm Lune croissant with Qld king prawns, iceberg lettuce, dill & lime mayonnaise , Hanger steak sandwich with red onion jam, wasabi butter, horseradish, tempura beetroot leaves in a brioche roll , Kale & cauliflower salad, almond hummus, seeds, avocado, miso & a poached egg , bacon , 咖啡 , slow toasted lamb shoulder , Roasted barramund burger , Buttermilk Waffle , Chilli Scramble Eggs","墨尔本有名的吃早午餐的地方，也就是传说中的brunch，推荐他家的蓝莓蛋糕和卡布提诺，蛋糕很软入口即化，而且不是特别甜，热饮味道也很正宗
来自 Grace 的点评",Restaurant
food_0006,Three Blue Ducks,https://you.ctrip.com/food/bronte2126804/8698035.html,¥352,"烤羊肩 , 炖牛脸颊肉 , 培根蛋卷 , 香煎澳洲肺鱼 , 炸鸡 , 烤羊排","店内菜式丰富，菜量巨大，前菜烤饼，味道非常棒，被炭火烤制的外酥里内，配上南瓜、红薯、鹰嘴豆等食材做的酱汁，微微偏甜让我一口一口停不...
来自 没有蜡olling 的点评",Restaurant
food_0007,Mad Spuds Cafe,https://you.ctrip.com/food/2126966/8698090.html,¥97,"Irish Breakfast , CHILLI CON CARNE (Baked Spud) , POACHED LEMON CHICKEN (Salads) , TACO POTATO SKINS (Twice Cooked Spuds Skins) , MAD SPUD STACK , BOXTY(TRADITIONAL IRISH POTATO PANCAKE)","很传统的悉尼街边小店，虽说各家小店其实都差不多，但是来了澳洲这块还是觉得有必要多体验一下这种店，可以很好的体会下当地人的日常生活状...
来自 携程用户 的点评",Restaurant
food_0008,Sake Restaurant & Bar,https://you.ctrip.com/food/2127185/8702508.html,¥293,"Kingfish Double Crunch , Mushroom Hot Pot , Scampi Tempural , Teriyaki Lamb Chop , SPICY TUNA , Seared salmon","作为冷门旅游地，海港大桥最多是行车经过不太会有游客特意的来吧？这家店就在海港大桥这里，招牌是很显眼的日式招牌，本来以为是家类似居酒...
来自 携程用户 的点评",Restaurant
food_0009,Bistro Moncur,https://you.ctrip.com/food/woollahra16239/8702593.html,¥733,"PRIME FILLET STEAK, SAUCE BEARNAISE , PICKLED VEGETABLE SALAD, CHIVE CREME FRAICHE , FRENCH ONION SOUFFLE GRATIN , MINUTE STEAK, WINE MERCHANTS SAUCE , HAND CUT STEAK TARTARE , SPANNER CRAB & SWEET CORN OMELETTE WITH BEURRE NOISETTE","本次澳洲之行中最满意的一顿西餐，到不是说有多豪华多好吃，相比其他米其林，这家的性价比绝对最高，而且服务非常友善，对于亚洲游客能做针...
来自 携程用户 的点评",Restaurant
food_0010,sixpenny,https://you.ctrip.com/food/stanmore2126877/8703244.html,¥954,,"地方很小，除了料理吧台就是几张靠墙放的餐桌，而且很奇怪的是都是小圆桌，浪费空间不说坐的也很不舒服，搞不懂怎么设计的。吃的东西么其实...
来自 携程用户 的点评",Restaurant
food_0011,Catalina Restaurant,https://you.ctrip.com/food/2126946/8704684.html,¥684,"牡蛎 , 生蚝 , 焦糖无花果 , 新西兰mt cook三文鱼 , 三文鱼刺身前菜 , 烤鹌鹑 , 墨鱼汁海鲜意面 , 芒果慕斯 , 香煎澳洲肺鱼","Catalina是有名的获奖餐厅，一定需要提前订位。临水风景特别美，是一个很适合情侣约会和看日落的地方。通常应季会有不同的菜品推出，点菜时...
来自 澳世乐享AusomeAsia-Jo 的点评",Restaurant
food_0012,Rare Steakhouse Uptown,https://you.ctrip.com/food/melbourne312/15142730.html,¥150,"澳洲牛排 , Calamari , Garlic Prawns , oysters , Angus Pure Natural Beef , Dry-Aged Porterhouse on the Bone , Grain Fed Black Angus , Grain Fed Yearling , Pork Spare Ribs","餐厅在没本的市中心，不仅牛排做的好，其他的海鲜也不错。
来自 美丽的地球 的点评",Restaurant
food_0013,Danjee,https://you.ctrip.com/food/sydney236/15144105.html,¥122,"调味牛排 , 原味炸鸡 , 和牛烧烤 , 猪肉泡菜年糕汤 , 韩餐定食 , 和牛肋排 , 海鲜豆腐汤 , 牛尾汤 , 部队火锅 , 海鲜辣炒年糕 , 牛舌 , 精选和牛拼盘","感觉老板娘不太好态度，可能见我中国人吧……然后一个套餐ADU25【凉面➕烤牛肉】牛肉较老，凉面就是又凉又酸的粉丝的感觉，然后点了一杯类...
来自 _WeCh****77152 的点评",Restaurant
food_0014,Basket Brothers,https://you.ctrip.com/food/haymarket2126388/15316188.html,¥171,"Fries , Banana Smoothie , smashed avocado , Brother Burger , Hot chocolate , 土豆烧牛肉","商场一楼靠近小马路，人气不是很旺，主要做的是传统的西餐，价格比起周围其他的店来说要贵一点，不过应该是开了时间不算很长，布置和装修什...
来自 携程用户 的点评",Restaurant
food_0015,Cafe Oratnek,https://you.ctrip.com/food/redfern2126910/15316241.html,¥88,"matcha french toast, banana chips, coconut, strawberries, matcha mousse , thick bacon & egg roll, shiso smashed pea chutney, leaves, mustard mayo , poached chicken, green tea soba noodle, spring peas, bí qí, shiso, wasabi dressing , pulled chicken, japanese curry, cheese, leaves, mayo sandwich , edamame falafel, tzatziki, leaves, sprouts, edamame hummus sandwich , croque madame, miso béchamel, ham, triple cheese, poached egg , 水波蛋吐司 , 抹茶特制曲奇 , 抹茶Laminton蛋糕 , 抹茶奶心Donut , 抹茶提拉米苏 , 抹茶","算是挺新潮的抹茶料理，除了必吃的抹茶小蛋糕以外，最受欢迎的就是抹茶味土豆泥，没有想象中那种一片绿的造型，还是很普通的豆泥的样子，入...
来自 携程用户 的点评",Restaurant
food_0016,Anchovy,https://you.ctrip.com/food/richmond2124687/15319465.html,¥332,"墨西哥玉米脆饼 , 烟熏鲭鱼 , 香酥比目鱼 , 香煎澳洲肺鱼 , 烤羊排 , 生菜杯","非常不错的东南亚风味餐厅，在这个区域有好几家这类创新的亚洲风味，新的潮流
来自 138****7260 的点评",Restaurant
food_0017,Patricias Coffee Brewers,https://you.ctrip.com/food/melbourne312/15319497.html,¥34,"姜汁蛋糕 , flat white , 可露丽 , 卡仕达甜甜圈 , 咖啡 , 可颂 , 肉桂卷","带着女儿慕名找到这里，生意很好，服务水准真心赞。我点了一杯咖啡，问有没有适合孩子喝的，推荐喝热牛奶，买单时发现，牛奶没收费，送孩子...
来自 130****6955 的点评",Restaurant
food_0018,Pilu At Freshwater,https://you.ctrip.com/food/freshwater2126667/8694968.html,¥856,"Strozzapreti, ragu di capretto, primo sale di capra e mandorle , Filetto di trota, fave, asparagi e pane carasau , Manzo alla brace e caponata di melanzane , Porcetto arrosto , Brodo di Pecorino, sa fregula, mais e erba cipollina , Polpo, ‘nduja, crema all’aglio, scalogno e semi di zucca","大落地窗可以看到海湾的海景，还能看到成群的海鸟结伴飞行，非常有感觉，餐点是意式风格，夹杂着一些澳洲本土特色，个人强烈推荐。
来自 携程用户 的点评",Restaurant
food_0019,Altitude Restaurant,https://you.ctrip.com/food/2127185/8693080.html,¥807,"烤乳猪 , 核桃面包 , 炸软壳蟹天妇罗 , 香煎澳洲肺鱼 , 香煎红鲷鱼 , 意式牛肝菌奶油烩饭","这家西餐馆位于悉尼的香格里拉大酒店内的最高层36层，餐馆里的大落地窗让顾客在用餐的时候可以居高临下随意欣赏到悉尼港的美景，感觉很有档...
来自 35****933 的点评",Restaurant
